Category,Name,NameCH,Sweetness,Preparation_Time,Calories,Ingredients,Temperature,Size,Link,Image,Almond Flakes,Almond Pudding,Almond Soup,Black Sugar Boba,Boba,Caramel Pudding,Caramel Sauce,Chocolate Chip Egg Waffle,Chocolate Chips,Chocolate Egg Waffle,Chocolate Syrup,Chocolate Wafer Rolls,Coconut Flakes,Coconut Milk,Coconut Soup,Creamer,Crystal Mochi,Egg Waffle,Fluffy,Grass Jelly,Grass Jelly Shaved Ice,Grass Jelly Soup,Hot Red Beans Soup,Ice Cream,Mango,Matcha Egg Waffle,Matcha Red Beans Egg Waffle,Melon Jelly,Milk,Milk Tea Sauce,Mini Q,Mixed Nuts,Mung Bean Cakes,Peanuts,Potaro Ball,Purple Rice,Purple Rice Soup,Q Mochi,Red Beans,Red Beans Soup,Rice Balls,Sago,Sesame Rice Balls,Shaved Ice,Strawberry,Taro,Taro Balls,Taro Paste,Taro Paste Sauce,Tofu Pudding,Ube Milk Shaved Ice,Ube Paste
仙草甜点,Hot Grass Jelly Soup Combo A,热烧仙草A,2,4,880,"Mini Q,Red Beans,Peanuts,Boba,Grass Jelly Soup",2," 
 	
One Size",https://www.meetfresh.us/hot-grass-jelly-soup-combo-a,static/93b487fd-24ce-4f9d-baf3-d39019f8d202.png,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
仙草甜点,Hot Grass Jelly Soup Combo B,热烧仙草B,2,4,720,"Mini Q,Taro,Red Beans,Boba,Grass Jelly Soup",2," 
 	
One Size",https://www.meetfresh.us/hot-grass-jelly-soup-combo-b,static/3b45baa9-26e6-436b-93d0-9b1c15fcaea7.png,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
仙草甜点,Hot Grass Jelly Soup Combo C,热烧仙草C,2,4,606,"Mini Q,Melon Jelly,Rice Balls,Boba,Grass Jelly Soup",2," 
 	
One Size",https://www.meetfresh.us/hot-grass-jelly-soup-combo-c,static/12-Hot-Grass-Jelly-soup-C.png,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
红豆汤甜点,Hot Red Bean Soup Combo A,热红豆汤A,2,4,1409,"Taro Balls,Red Beans,Peanuts,Boba,Red Beans Soup",2," 
 	
One Size",https://www.meetfresh.us/hot-red-bean-soup-combo-a,static/07-Hot-Red-Bean-soup-A.png,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
红豆汤甜点,Hot Red Bean Soup Combo B,热红豆汤B,2,4,1249,"Taro Balls,Taro,Red Beans,Boba,Red Beans Soup",2," 
 	
One Size",https://www.meetfresh.us/hot-red-bean-soup-combo-b,static/08-Hot-Red-Bean-soup-B.png,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
红豆汤甜点,Hot Red Bean Soup Combo C,热红豆汤C,2,4,1135,"Taro Balls,Red Beans,Melon Jelly,Rice Balls,Boba,Hot Red Beans Soup",2," 
 	
One Size",https://www.meetfresh.us/hot-red-bean-soup-combo-c,static/09-Hot-Red-Bean-soup-C.png,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
牛奶冰,Crystal Mochi Milk Shaved Ice,凉果子牛奶冰,3,5,1348,"Crystal Mochi,Red Beans,Rice Balls,Melon Jelly,Ice Cream",1," 
 	
One Size",https://meetfresh.us/crystal-mochi-milk-shaved-ice/,static/Crystal-Mochi-Milk-Shaved-Ice-2048x2031.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
牛奶冰,Pudding & Q Mochi Milk Shaved Ice,布丁Q麻薯牛奶冰,3,5,1267,"Almond Pudding,Caramel Pudding,Mini Q,Q Mochi,Melon Jelly,Ice Cream",1," 
 	
One Size",https://www.meetfresh.us/pudding-q-mochi-milk-shaved-ice/,static/Pudding-Q-Mochi-Milk-Shaved-Ice.png,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
牛奶冰,Q Mochi Milk Shaved Ice,芋薯圆Q麻薯牛奶冰,3,5,1152,"Mini Q,Melon Jelly,Taro Balls,Q Mochi,Ice Cream",1," 
 	
One Size",https://www.meetfresh.us/q-mochi-milk-shaved-ice/,static/Q-Mochi-Potaro-Ball-Milk-Shaved-Ice.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
牛奶冰,Black Sugar Boba Milky Shaved Ice,黑糖珍珠奶茶冰,3,5,2498,"Black Sugar Boba,Red Beans,Milk Tea Sauce,Caramel Pudding,Ice Cream",1," 
 	
One Size",https://www.meetfresh.us/black-sugar-boba-milky-shaved-ice/,static/Black-sugar-boba-milky-黑糖珍珠奶茶冰.png,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
牛奶冰,Taro Paste Volcano Shaved Ice,芋泥火山冰,3,5,991,"Boba,Red Beans,Caramel Pudding,Mini Q,Taro,Taro Paste,Ice Cream",1," 
 	
One Size",https://www.meetfresh.us/taro-paste-volcano-shaved-ice/,static/thumbnail.png,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
鸡蛋仔,Original Egg Waffle,原味鸡蛋仔,1,5,432,Egg Waffle,2," 
 	
One Size",,static/Original-原味-1-e1665687025271.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鸡蛋仔,Matcha Egg Waffle,抹茶鸡蛋仔,1,5,447,Matcha Egg Waffle,2," 
 	
One Size",,static/Matcha-抹茶-1.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鸡蛋仔,Chocolate Egg Waffle,巧克力鸡蛋仔,1,5,442,Chocolate Egg Waffle,2," 
 	
One Size",,static/Chocolate-巧克力-1.png,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鸡蛋仔,Matcha Red Bean Egg Waffle,抹茶红豆鸡蛋仔,1,5,585,"Matcha Egg Waffle,Red Beans",2," 
 	
One Size",,static/Matcha-red-bean-抹茶紅豆-2.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
鸡蛋仔,Matcha Deluxe Egg Waffle,抹茶红豆麻薯鸡蛋仔,1,5,899,"Matcha Red Beans Egg Waffle,Ice Cream,Q Mochi,Red Beans,Milk",2," 
 	
One Size",,static/Matcha-Deluxe-抺茶紅豆麻糬-1.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
鸡蛋仔,Chocolate Chip Egg Waffle,双浓巧克力鸡蛋仔,1,5,598,"Chocolate Egg Waffle,Chocolate Chips",2," 
 	
One Size",,static/Chocolate-chips-雙濃巧克力-1.png,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鸡蛋仔,Chocolate Deluxe Egg Waffle,坚果巧克力鸡蛋仔,1,5,855,"Chocolate Chip Egg Waffle,Ice Cream,Mixed Nuts,Chocolate Wafer Rolls,Chocolate Syrup",2," 
 	
One Size",,static/Chocolate-deluxe-堅果巧克力-1.png,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
豆花,Tofu Pudding,清豆花,2,4,318,Tofu Pudding,1," 
 	
One Size",,static/Tofu-pudding-base-2048x1802.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
豆花,Red Bean Tofu Pudding,红豆豆花,2,4,733,"Red Beans,Tofu Pudding",2," 
 	
One Size",,static/36511aac-daee-45c2-bb2b-79cd4b97eb77.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
豆花,Red Bean Tofu Pudding,红豆豆花,2,4,647,"Red Beans,Tofu Pudding",1," 
 	
One Size",,static/36511aac-daee-45c2-bb2b-79cd4b97eb77.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
豆花,Boba Tofu Pudding,珍珠豆花,2,4,510,"Boba,Tofu Pudding",2," 
 	
One Size",,static/e13ee4c1-ead8-4b37-b46e-4786286c8595.png,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
豆花,Boba Tofu Pudding,珍珠豆花,2,4,424,"Boba,Tofu Pudding",1," 
 	
One Size",,static/e13ee4c1-ead8-4b37-b46e-4786286c8595.png,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
豆花,Peanut Tofu Pudding,花生豆花,2,4,1038,"Peanuts,Tofu Pudding",2," 
 	
One Size",,static/0c0cb517-b86a-4e29-8021-c83ed26d4429.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
豆花,Peanut Tofu Pudding,花生豆花,2,4,952,"Peanuts,Tofu Pudding",1," 
 	
One Size",,static/0c0cb517-b86a-4e29-8021-c83ed26d4429.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
豆花,Rice Ball Tofu Pudding,汤圆豆花,2,4,446,"Rice Balls,Tofu Pudding",2," 
 	
One Size",,static/50d18bcb-042a-4718-bf87-78492f7dfd36.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
豆花,Rice Ball Tofu Pudding,汤圆豆花,2,4,360,"Rice Balls,Tofu Pudding",1," 
 	
One Size",,static/50d18bcb-042a-4718-bf87-78492f7dfd36.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
豆花,Taro Tofu Pudding,芋头豆花,2,4,398,"Taro,Tofu Pudding",2," 
 	
One Size",,static/06-Taro-Tofu-Pudding-Cold-Hot-2024.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
豆花,Taro Tofu Pudding,芋头豆花,2,4,312,"Taro,Tofu Pudding",1," 
 	
One Size",,static/06-Taro-Tofu-Pudding-Cold-Hot-2024.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
豆花,Mini Q Tofu Pudding,小芋圆豆花,2,4,489,"Mini Q,Tofu Pudding",2," 
 	
One Size",,static/Mini-Q-小芋圓豆花-2048x1869.jpg.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
豆花,Mini Q Tofu Pudding,小芋圆豆花,2,4,403,"Mini Q,Tofu Pudding",1," 
 	
One Size",,static/Mini-Q-小芋圓豆花-2048x1869.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
豆花,Taro Ball Tofu Pudding,芋圆豆花,2,4,588,"Taro Balls,Tofu Pudding",2," 
 	
One Size",,static/94f38c89-3116-495a-8f6b-973b0f1d9333.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
豆花,Taro Ball Tofu Pudding,芋圆豆花,2,4,502,"Taro Balls,Tofu Pudding",1," 
 	
One Size",,static/94f38c89-3116-495a-8f6b-973b0f1d9333.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
豆花,Potaro Ball Tofu Pudding,芋薯圆豆花,2,4,508,"Potaro Ball,Tofu Pudding",2," 
 	
One Size",,static/Potaro-Ball-Tofu-Pudding-2048x1931.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
豆花,Potaro Ball Tofu Pudding,芋薯圆豆花,2,4,422,"Potaro Ball,Tofu Pudding",1," 
 	
One Size",,static/Potaro-Ball-Tofu-Pudding-2048x1931.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
